timestamp,modulo,temperatura (°C),umidità (%)
2025-04-30 11:31:25,a,28.62,37.56
2025-04-30 11:31:30,a,28.60,37.07
2025-04-30 11:34:00,a,28.75,35.74
2025-04-30 11:34:05,a,28.77,35.77
2025-04-30 11:34:10,a,28.78,35.34
2025-04-30 11:34:15,a,28.79,35.71
2025-04-30 11:34:20,a,28.82,35.29
2025-04-30 11:34:40,a,28.85,35.21
2025-04-30 11:34:45,a,28.81,35.12
2025-04-30 11:34:50,a,28.82,35.03
2025-04-30 11:34:55,a,28.82,35.05
2025-04-30 11:35:00,a,28.85,34.57
2025-04-30 11:35:05,a,28.86,34.47
2025-04-30 11:35:10,a,28.86,34.48
2025-04-30 11:35:15,a,28.88,34.53
2025-04-30 11:35:20,a,28.89,34.61
2025-04-30 11:35:25,a,28.90,34.50
2025-04-30 11:35:30,a,28.90,34.36
2025-04-30 11:35:35,a,28.93,34.47
2025-04-30 11:35:40,a,28.90,34.67
2025-04-30 11:35:45,a,28.89,34.77
2025-04-30 11:35:50,a,28.88,34.84
2025-04-30 11:35:55,a,28.90,34.95
2025-04-30 11:36:00,a,28.89,34.98
2025-04-30 11:36:05,a,28.88,34.87
2025-04-30 11:36:10,a,28.88,34.85
2025-04-30 11:36:15,a,28.90,34.95
2025-04-30 11:36:20,a,28.90,35.11
2025-04-30 11:36:25,a,28.90,35.01
2025-04-30 11:36:30,a,28.92,35.06
2025-04-30 11:36:35,a,28.88,35.07
2025-04-30 11:36:40,a,28.88,35.48
2025-04-30 11:36:45,a,28.88,35.48
2025-04-30 11:36:50,a,28.86,35.45
2025-04-30 11:36:55,a,28.88,35.19
2025-04-30 11:37:00,a,28.86,35.35
2025-04-30 11:37:05,a,28.86,35.23
2025-04-30 11:37:10,a,28.86,35.09
2025-04-30 11:37:15,a,28.86,35.26
2025-04-30 11:37:20,a,28.85,35.09
2025-04-30 11:37:25,a,28.88,35.09
2025-04-30 11:37:30,a,28.88,35.07
2025-04-30 11:37:35,a,28.88,34.90
2025-04-30 11:37:40,a,28.85,34.84
2025-04-30 11:37:45,a,28.86,34.81
2025-04-30 11:37:50,a,28.86,34.81
2025-04-30 11:37:55,a,28.85,34.94
2025-04-30 11:38:00,a,28.85,35.09
2025-04-30 11:38:05,a,28.85,35.23
2025-04-30 11:38:10,a,28.85,35.28
2025-04-30 11:38:15,a,28.85,35.28
2025-04-30 11:38:20,a,28.83,35.67
2025-04-30 11:38:25,a,28.83,35.77
2025-04-30 11:38:30,a,28.82,35.37
2025-04-30 11:38:35,a,28.82,35.25
2025-04-30 11:38:40,a,28.79,35.07
2025-04-30 11:38:45,a,28.78,34.84
2025-04-30 11:38:50,a,28.78,34.78
2025-04-30 11:38:55,a,28.78,34.84
2025-04-30 11:39:00,a,28.79,34.98
