timestamp,modulo,vibrazione (m/s²),frequenza (Hz)
2025-04-30 11:31:20,a,1.02,0.09
2025-04-30 11:34:07,a,1.03,0.03
2025-04-30 11:34:07,a,0.99,9.01
2025-04-30 11:34:14,a,1.03,11.11
2025-04-30 11:34:14,a,0.97,0.15
2025-04-30 11:34:17,a,1.02,12.50
2025-04-30 11:34:39,a,0.99,0.05
2025-04-30 11:34:39,a,1.02,9.01
2025-04-30 11:34:39,a,0.99,5.88
2025-04-30 11:34:39,a,1.02,10.00
2025-04-30 11:34:40,a,0.99,2.56
2025-04-30 11:34:53,a,1.04,0.08
2025-04-30 11:35:26,a,1.00,19.61
2025-04-30 11:38:00,a,0.97,0.01
2025-04-30 11:38:00,a,1.00,9.09
2025-04-30 11:38:01,a,1.03,2.76
2025-04-30 11:38:01,a,0.97,16.67
2025-04-30 11:38:01,a,1.02,19.61
2025-04-30 11:38:12,a,0.99,0.09
2025-04-30 11:38:13,a,1.03,1.78
2025-04-30 11:38:13,a,0.99,9.01
2025-04-30 11:38:13,a,1.03,2.12
2025-04-30 11:38:13,a,0.97,19.61
2025-04-30 11:38:13,a,1.00,16.67
2025-04-30 11:38:16,a,1.04,0.43
